CODCANDIDATO,serie,categoria,linguagens,matematica,ciencias_humanas,ciencias_natureza,concluiu_fundamental,concluiu_medio,concluiu_prova_unica
8941171,3.0,medio,True,True,True,True,False,True,True
9433769,3.0,medio,True,False,False,False,False,False,False
15029299,3.0,medio,True,True,True,True,False,True,True
15029331,3.0,medio,True,True,True,True,False,True,True
15029347,3.0,medio,True,True,True,True,False,True,True
15029355,3.0,medio,True,True,True,True,False,True,True
15029565,3.0,medio,True,True,True,True,False,True,True
15029581,3.0,medio,True,True,True,True,False,True,True
15029601,3.0,medio,False,False,False,False,False,False,False
15029653,3.0,medio,True,True,True,True,False,True,True
15029663,3.0,medio,True,True,True,True,False,True,True
15029689,3.0,medio,False,False,False,False,False,False,False
15030042,3.0,medio,True,True,True,True,False,True,True
15030046,3.0,medio,True,True,True,True,False,True,True
15030088,3.0,medio,True,True,True,True,False,True,True
15030094,3.0,medio,True,True,True,True,False,True,True
15030116,3.0,medio,True,True,True,True,False,True,True
15030160,3.0,medio,True,True,True,True,False,True,True
15030164,3.0,medio,True,True,True,True,False,True,True
15030564,3.0,medio,True,True,True,True,False,True,True
15030568,3.0,medio,False,False,False,False,False,False,False
15030574,3.0,medio,True,True,True,True,False,True,True
15030588,3.0,medio,True,True,True,True,False,True,True
15030596,3.0,medio,True,True,True,True,False,True,True
15030610,3.0,medio,True,True,True,True,False,True,True
15030628,3.0,medio,False,False,False,False,False,False,False
15030642,3.0,medio,True,True,True,True,False,True,True
15030650,3.0,medio,False,False,False,False,False,False,False
15030656,3.0,medio,True,True,True,True,False,True,True
15030670,3.0,medio,True,True,True,False,False,False,False
15030674,3.0,medio,True,True,True,True,False,True,True
15030676,3.0,medio,True,True,True,True,False,True,True
15030678,3.0,medio,True,True,True,True,False,True,True
15030858,3.0,medio,True,True,True,True,False,True,True
15030884,3.0,medio,True,True,True,True,False,True,True
15030894,3.0,medio,True,True,True,True,False,True,True
15030900,3.0,medio,True,True,True,True,False,True,True
15031104,3.0,medio,True,True,True,True,False,True,True
15031106,3.0,medio,True,True,True,True,False,True,True
15031110,3.0,medio,False,False,False,False,False,False,False
15031126,3.0,medio,True,True,True,True,False,True,True
15031138,3.0,medio,True,True,True,False,False,False,False
15031144,3.0,medio,True,True,True,True,False,True,True
15031338,3.0,medio,True,True,True,True,False,True,True
15031344,3.0,medio,True,True,True,True,False,True,True
15031352,3.0,medio,False,False,False,False,False,False,False
15031360,3.0,medio,True,True,True,True,False,True,True
15031572,3.0,medio,False,False,False,False,False,False,False
15031574,3.0,medio,True,True,True,True,False,True,True
15031586,3.0,medio,False,False,False,False,False,False,False
15031770,3.0,medio,True,True,True,True,False,True,True
15031774,3.0,medio,True,True,True,True,False,True,True
15031800,3.0,medio,True,True,True,True,False,True,True
15031818,3.0,medio,True,True,True,True,False,True,True
15031828,3.0,medio,True,True,True,True,False,True,True
15032115,3.0,medio,True,True,True,True,False,True,True
